Area,Instituicao,Modalidade,Inicio Doutorado,Inicio Mestrado,Docentes,Dissertacoes,Teses,Di/Te,TotalPeriodicos,Total Qualificados,A1,A2,B1,B2,B3,B4,B5,C,NC,Conferencias,Livros,Capitulos,Coletaneas,Prod.Artistica,Outros,Conceito
Admin_CienContabeis_Tur,USP,Acad,1975.0,1975.0,45,109,119,0.915966387,593,415,10,27,89,78,97,42,72,111,67,1161,40,290,18,3,13,Sete
Admin_CienContabeis_Tur,UFMG,Acad,1995.0,1973.0,22,63,20,3.15,130,108,2,7,29,23,22,19,6,9,13,326,3,68,2,0,7,Seis
Admin_CienContabeis_Tur,USP,Acad,1978.0,1970.0,20,38,38,1.0,164,138,2,8,46,31,29,12,10,10,16,329,8,42,0,5,0,Seis
Admin_CienContabeis_Tur,FUCAPE,Prof,,2001.0,13,100,0,,65,56,3,6,16,17,12,0,2,9,0,176,1,21,0,0,1,Cinco
Admin_CienContabeis_Tur,PUC-RIO,Acad,1997.0,1972.0,21,67,11,6.090909091,93,83,0,21,25,19,9,4,5,3,7,189,5,40,3,0,0,Cinco
Admin_CienContabeis_Tur,PUC-RIO,Prof,,1999.0,21,100,0,,92,82,0,23,25,19,9,3,3,3,7,181,4,40,3,0,0,Cinco
Admin_CienContabeis_Tur,PUC/MG,Prof,,2000.0,13,84,0,,68,46,2,2,12,11,12,6,1,19,3,100,9,25,0,0,0,Cinco
Admin_CienContabeis_Tur,PUC/PR,Acad,2006.0,2000.0,15,87,1,87.0,84,62,0,2,3,5,21,23,8,12,10,216,6,44,1,0,2,Cinco
Admin_CienContabeis_Tur,PUC/RS,Acad,,2006.0,15,40,0,,52,42,0,2,10,8,16,5,1,7,3,122,0,16,0,0,0,Cinco
Admin_CienContabeis_Tur,UFPE,Acad,2000.0,1995.0,22,106,10,10.6,120,110,4,6,26,23,28,18,5,4,6,329,1,48,0,0,1,Cinco
Admin_CienContabeis_Tur,UFRJ,Acad,1976.0,1973.0,25,117,15,7.8,99,88,9,34,22,12,5,5,1,6,5,140,8,51,2,0,0,Cinco
Admin_CienContabeis_Tur,UNB,Acad,2006.0,1976.0,17,33,2,16.5,98,71,2,9,21,16,12,7,4,10,17,139,4,34,1,0,0,Cinco
Admin_CienContabeis_Tur,UNINOVE,Acad,2008.0,2006.0,18,48,0,,109,76,0,3,11,9,31,7,15,13,20,282,7,90,4,0,3,Cinco
Admin_CienContabeis_Tur,UNISINOS,Acad,2007.0,2000.0,15,72,0,,80,59,4,7,14,16,4,7,7,11,10,168,4,24,0,0,0,Cinco
Admin_CienContabeis_Tur,UNIVALI,Acad,,1997.0,11,55,0,,47,33,0,1,8,3,8,6,7,10,4,142,4,18,0,0,2,Cinco
Admin_CienContabeis_Tur,UPM,Acad,2003.0,1999.0,19,82,24,3.416666667,110,101,1,1,25,18,38,7,11,6,3,211,0,15,1,0,2,Cinco
Admin_CienContabeis_Tur,FJP,Acad,,1995.0,11,93,0,,37,17,1,5,3,2,1,5,0,11,9,63,4,19,4,0,0,Quatro
Admin_CienContabeis_Tur,FUCAPE,Acad,2009.0,2009.0,16,0,0,,69,63,1,6,18,17,19,1,1,5,1,161,1,23,0,0,0,Quatro
Admin_CienContabeis_Tur,FURB,Acad,,1997.0,11,54,0,,135,99,1,6,7,16,32,21,16,29,7,359,1,26,1,0,4,Quatro
Admin_CienContabeis_Tur,FURB,Acad,2008.0,2005.0,14,36,0,,157,122,1,6,11,17,38,26,23,26,9,421,8,16,1,0,0,Quatro
Admin_CienContabeis_Tur,IBMEC,Prof,,1999.0,15,178,0,,85,62,6,9,10,12,4,12,9,14,9,158,5,6,0,0,0,Quatro
Admin_CienContabeis_Tur,PUC/MG,Acad,2008.0,2007.0,13,4,0,,59,43,1,1,11,10,13,7,0,9,7,104,6,26,0,0,0,Quatro
Admin_CienContabeis_Tur,PUC/SP,Acad,,1978.0,14,132,0,,102,67,1,11,10,6,11,4,24,16,19,165,3,82,2,0,8,Quatro
Admin_CienContabeis_Tur,UEM,Acad,,2000.0,14,47,0,,45,34,0,1,2,7,12,6,6,11,0,194,4,37,2,0,0,Quatro
Admin_CienContabeis_Tur,UFBA,Acad,1993.0,1983.0,24,46,22,2.090909091,131,100,3,7,15,24,24,16,11,24,7,362,13,77,0,0,0,Cinco
Admin_CienContabeis_Tur,UFBA,Prof,,1998.0,26,89,0,,120,102,6,13,15,23,22,13,10,15,3,260,5,101,0,0,13,Quatro
Admin_CienContabeis_Tur,UFLA,Acad,2000.0,1975.0,17,66,16,4.125,110,81,0,6,16,21,15,11,12,12,17,312,8,44,3,0,1,Quatro
Admin_CienContabeis_Tur,UFMG,Acad,,2007.0,11,5,0,,72,55,0,2,14,8,17,11,3,11,6,146,1,18,0,0,2,Quatro
Admin_CienContabeis_Tur,UFPB/J.P.,Acad,,1976.0,11,42,0,,61,49,0,2,8,10,14,7,8,6,6,124,2,18,0,0,0,Quatro
Admin_CienContabeis_Tur,UFPR,Acad,2004.0,1992.0,17,102,8,12.75,89,70,0,13,20,14,13,7,3,7,12,172,0,43,0,0,2,Quatro
Admin_CienContabeis_Tur,UFRGS,Prof,,1998.0,28,7,0,,149,123,10,16,35,25,13,9,15,12,14,331,0,34,0,0,1,Quatro
Admin_CienContabeis_Tur,UFRJ,Acad,,1998.0,10,34,0,,65,49,0,0,3,5,15,19,7,7,9,119,7,21,1,0,0,Quatro
Admin_CienContabeis_Tur,UFRN,Acad,2006.0,1978.0,15,61,0,,48,43,1,4,7,9,8,11,3,2,3,145,4,29,0,0,0,Quatro
Admin_CienContabeis_Tur,UFSC,Acad,2008.0,1978.0,18,49,0,,140,103,2,11,19,11,30,21,9,22,15,269,1,33,2,0,2,Quatro
Admin_CienContabeis_Tur,UFSC,Acad,,2004.0,10,30,0,,98,71,3,1,6,11,19,20,11,22,5,297,4,18,0,0,0,Quatro
Admin_CienContabeis_Tur,UFSM,Acad,,2003.0,13,44,0,,76,69,0,3,5,12,17,13,19,4,3,240,2,17,0,0,0,Quatro
Admin_CienContabeis_Tur,UNB,Acad,2007.0,2007.0,12,82,0,,90,58,1,3,8,3,23,12,8,18,14,171,4,12,0,1,4,Quatro
Admin_CienContabeis_Tur,UNESA,Prof,,1994.0,10,88,0,,53,31,1,4,4,0,6,5,11,18,4,151,1,5,0,0,0,Quatro
Admin_CienContabeis_Tur,UniFECAP,Acad,,1999.0,11,63,0,,30,27,0,0,3,6,14,3,1,3,0,114,2,6,0,0,0,Quatro
Admin_CienContabeis_Tur,UNIFOR,Acad,,1995.0,14,66,0,,62,57,1,8,12,13,12,8,3,3,2,188,5,5,1,0,0,Quatro
Admin_CienContabeis_Tur,UNIGRANRIO,Acad,,2007.0,10,14,0,,27,19,1,1,9,2,3,2,1,2,6,77,3,9,0,0,1,Quatro
Admin_CienContabeis_Tur,UNIMEP,Prof,,2002.0,12,62,0,,46,27,2,5,3,5,5,4,3,12,7,84,10,80,1,0,4,Quatro
Admin_CienContabeis_Tur,UNISINOS,Acad,,2000.0,9,57,0,,72,48,0,2,13,8,13,7,5,15,9,111,8,28,1,0,0,Quatro
Admin_CienContabeis_Tur,UNIVALI,Acad,2007.0,2003.0,18,48,0,,79,60,0,6,7,11,17,9,10,14,5,233,4,34,1,0,6,Quatro
Admin_CienContabeis_Tur,UP,Acad,2008.0,2005.0,15,63,0,,72,63,0,10,21,10,11,4,7,8,1,140,3,31,0,0,0,Quatro
Admin_CienContabeis_Tur,UPM,Prof,,2008.0,10,0,0,,50,44,0,1,7,9,20,5,2,4,2,87,0,6,0,0,1,Quatro
Admin_CienContabeis_Tur,USCS,Acad,,2003.0,15,57,0,,80,59,0,4,6,10,20,7,12,15,6,149,4,7,0,0,0,Quatro
Admin_CienContabeis_Tur,USP/RP,Acad,,2004.0,20,72,0,,98,68,1,6,16,21,10,3,11,22,8,195,5,21,3,4,3,Quatro
Admin_CienContabeis_Tur,USP/RP,Acad,,2005.0,12,26,0,,67,56,0,7,13,12,9,5,10,6,5,143,15,7,1,0,0,Quatro
Admin_CienContabeis_Tur,FESP/UPE,Prof,,2006.0,10,14,0,,19,6,0,0,0,2,0,0,4,8,5,33,3,13,2,0,0,Tres
Admin_CienContabeis_Tur,FGV/SP,Prof,,2009.0,19,0,0,,17,12,3,2,2,2,1,1,1,2,3,33,2,8,0,0,0,Tres
Admin_CienContabeis_Tur,FNH,Acad,,2005.0,16,144,0,,67,52,0,5,15,11,11,4,6,6,9,204,7,38,0,0,4,Tres
